fecha,juego,mercado,seleccion,cuota,probabilidad,valor,resultado,ganancia,stake_pct,stake_amount,bankroll_before,bankroll_after,profit_amount,yield_pct,created_at,settled_at
2026-04-24,New York Yankees @ Houston Astros,RL,New York Yankees,2.07,0.8324,28.4,win,1.07,1,10.08,1007.6,1018.39,10.79,107.04,,2026-06-05 14:54:18
2026-04-24,Seattle Mariners @ St. Louis Cardinals,ML,Seattle Mariners,1.72,0.7402,27.31,win,0.72,1,10.18,1018.39,1025.72,7.33,72.0,,2026-06-05 14:54:18
2026-04-24,Chicago Cubs @ Los Angeles Dodgers,TOTAL,Over 9.0,1.96,0.52,16.59,win,0.96,1,10.26,1025.72,1035.57,9.85,96.0,,2026-06-05 14:54:18
2026-04-24,Miami Marlins @ San Francisco Giants,ML,Miami Marlins,1.94,0.7416,43.87,win,0.94,1,10.36,1035.57,1045.31,9.74,94.02,,2026-06-05 14:54:18
2026-04-25,Boston Red Sox @ Baltimore Orioles,TOTAL,Over 7.0,2.06,0.52,69.89,win,1.06,1,10.45,1045.31,1056.39,11.08,106.03,,2026-06-05 14:54:18
2026-04-25,Seattle Mariners @ St. Louis Cardinals,ML,Seattle Mariners,1.71,0.742,26.88,win,0.71,1,10.56,1056.39,1063.89,7.5,71.02,,2026-06-05 14:54:18
2026-04-25,Cleveland Guardians @ Toronto Blue Jays,ML,Cleveland Guardians,2.27,0.553,25.53,lose,-1.0,1,10.64,1063.89,1053.25,-10.64,-100.0,,2026-06-05 14:54:18
2026-04-25,Miami Marlins @ San Francisco Giants,ML,Miami Marlins,2.05,0.5956,22.1,lose,-1.0,1,10.53,1053.25,1042.72,-10.53,-100.0,,2026-06-05 14:54:18
2026-04-25,Minnesota Twins @ Tampa Bay Rays,ML,Minnesota Twins,2.17,0.6748,46.43,lose,-1.0,1,10.43,1042.72,1032.29,-10.43,-100.0,,2026-06-05 14:54:18
2026-04-25,Washington Nationals @ Chicago White Sox,TOTAL,Over 8.0,2.0,0.52,45.42,win,1.0,1,10.32,1032.29,1042.61,10.32,100.0,,2026-06-05 14:54:18
